19:12:29 984	Load Setting ok
19:12:30 171	RKAndroidTool v1.3.7.0 Start Run
19:12:30 203	Scan thread:4592
19:12:30 234	Info:(thread=2108)IoControlProc-->DeviceIoControl In
19:12:30 250	ProcessID:3972,ThreadID:4524,RefCount:0
19:12:30 265	Info:(thread=2108)IoControlProc-->DeviceIoControl Out,ret=1,err=183
19:12:30 281	ProcessID:3972,ThreadID:4840,RefCount:0
19:12:30 281	ProcessID:3972,ThreadID:4592,RefCount:0
19:12:30 296	ProcessID:3972,ThreadID:2108,RefCount:0
19:46:34 109	INFO:开始擦除IDB
19:46:34 156	INFO:开始低格设备
19:46:46 343	INFO:低格设备成功
19:46:46 359	INFO:擦除IDB成功
19:46:51 781	INFO:执行开始
19:46:51 812	Loader Device Path(\\?\USB#VID_2207&PID_310B#6&180D563E&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=4616
19:46:51 843	INFO:开始测试设备
19:46:51 859	INFO:测试设备成功
19:46:51 875	INFO:开始写入ID_BLOCK
19:46:51 875	Flash Chip Information:
19:46:51 890	NO		SIZE(MB)	Manufacturer
19:46:51 890	----------------------------------------------
19:46:51 906	0		8192MB	HYNIX
19:46:51 921	----------------------------------------------
19:46:51 937	INFO:BuildFlashStateMap start
19:46:51 953	INFO: FindAllIDB start
19:46:51 984	INFO:UpdateIDBData start
19:46:52 062	INFO:Serial Number(0):
19:46:52 093	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
19:46:52 109	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
19:46:52 125	INFO:UID(30):
19:46:52 140	00000000: 52 4F 43 4B 43 48 49 50 47 C2 69 00 8D 07 B0 3B 
19:46:52 140	00000010: 99 BC 30 48 B4 FE 15 60 DC B0 8B FB 63 1A 
19:46:52 156	INFO:BlueTooth(0):
19:46:52 156	00000000: 00 00 00 00 00 00 
19:46:52 171	INFO:Mac(0):
19:46:52 187	00000000: 00 00 00 00 00 00 
19:46:52 203	INFO:WriteXIDBlock start
19:46:52 218	INFO:MakeEccSpareData start
19:46:52 234	INFO:WriteXIDBlock start
19:46:52 265	INFO:Writeing the 1th ID Block，Pos：00000000(SEC)
19:46:52 281	INFO:Writing sector 00000000 ~ 00000015 ... 
19:46:52 328	INFO:Reading sector 00000000 ~ 00000015 ... 
19:46:52 359	INFO:check start
19:46:52 359	INFO:Writing sector 00000016 ~ 00000031 ... 
19:46:52 375	INFO:Reading sector 00000016 ~ 00000031 ... 
19:46:52 390	INFO:check start
19:46:52 390	INFO:Writing sector 00000032 ~ 00000047 ... 
19:46:52 421	INFO:Reading sector 00000032 ~ 00000047 ... 
19:46:52 437	INFO:check start
19:46:52 453	INFO:Writing sector 00000048 ~ 00000063 ... 
19:46:52 468	INFO:Reading sector 00000048 ~ 00000063 ... 
19:46:52 484	INFO:check start
19:46:52 500	INFO:Writing sector 00000064 ~ 00000079 ... 
19:46:52 515	INFO:Reading sector 00000064 ~ 00000079 ... 
19:46:52 515	INFO:check start
19:46:52 531	INFO:Writing sector 00000080 ~ 00000095 ... 
19:46:52 546	INFO:Reading sector 00000080 ~ 00000095 ... 
19:46:52 578	INFO:check start
19:46:52 578	INFO:Writing sector 00000096 ~ 00000111 ... 
19:46:52 593	INFO:Reading sector 00000096 ~ 00000111 ... 
19:46:52 609	INFO:check start
19:46:52 609	INFO:Writing sector 00000112 ~ 00000127 ... 
19:46:52 625	INFO:Reading sector 00000112 ~ 00000127 ... 
19:46:52 640	INFO:check start
19:46:52 656	INFO:Writing sector 00000128 ~ 00000143 ... 
19:46:52 671	INFO:Reading sector 00000128 ~ 00000143 ... 
19:46:52 687	INFO:check start
19:46:52 687	INFO:Writing sector 00000144 ~ 00000159 ... 
19:46:52 703	INFO:Reading sector 00000144 ~ 00000159 ... 
19:46:52 718	INFO:check start
19:46:52 718	INFO:Writing sector 00000160 ~ 00000175 ... 
19:46:52 734	INFO:Reading sector 00000160 ~ 00000175 ... 
19:46:52 750	INFO:check start
19:46:52 765	INFO:Writing sector 00000176 ~ 00000191 ... 
19:46:52 781	INFO:Reading sector 00000176 ~ 00000191 ... 
19:46:52 781	INFO:check start
19:46:52 796	INFO:Writing sector 00000192 ~ 00000207 ... 
19:46:52 812	INFO:Reading sector 00000192 ~ 00000207 ... 
19:46:52 828	INFO:check start
19:46:52 828	INFO:Writing sector 00000208 ~ 00000223 ... 
19:46:52 859	INFO:Reading sector 00000208 ~ 00000223 ... 
19:46:52 875	INFO:check start
19:46:52 875	INFO:Writing sector 00000224 ~ 00000239 ... 
19:46:52 890	INFO:Reading sector 00000224 ~ 00000239 ... 
19:46:52 937	INFO:check start
