15:41:05 406	Load Setting ok
15:41:05 626	RKAndroidTool v1.3.7.0 Start Run
15:41:05 636	Scan thread:1796
15:41:05 646	Info:(thread=1652)IoControlProc-->DeviceIoControl In
15:41:05 656	ProcessID:2888,ThreadID:320,RefCount:0
15:41:05 666	Info:(thread=1652)IoControlProc-->DeviceIoControl Out,ret=1,err=0
15:41:05 676	ProcessID:2888,ThreadID:1796,RefCount:0
15:41:05 686	ProcessID:2888,ThreadID:1652,RefCount:0
15:41:51 452	INFO:开始擦除IDB
15:41:51 452	INFO:开始低格设备
15:41:52 534	INFO:低格设备成功
15:41:52 564	INFO:擦除IDB成功
15:42:07 135	Loader Device Path(\\?\USB#VID_2207&PID_310B#5&C1E6CCE&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=2868
15:42:07 165	INFO:执行开始
15:42:07 175	INFO:开始测试设备
15:42:07 215	INFO:测试设备成功
15:42:07 225	INFO:开始写入ID_BLOCK
15:42:07 225	Flash Chip Information:
15:42:07 235	NO		SIZE(MB)	Manufacturer
15:42:07 235	----------------------------------------------
15:42:07 265	0		7616MB	SAMSUNG
15:42:07 285	----------------------------------------------
15:42:07 285	INFO:BuildFlashStateMap start
15:42:07 305	INFO: FindAllIDB start
15:42:07 405	INFO:UpdateIDBData start
15:42:07 675	INFO:Serial Number(0):
15:42:07 675	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
15:42:07 685	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
15:42:07 685	INFO:UID(30):
15:42:07 695	00000000: 52 4F 43 4B 43 48 49 50 49 DA 57 00 1B E4 1A 3C 
15:42:07 695	00000010: CD 86 B6 46 8F 9A 04 0F D3 8C 68 87 7E 1B 
15:42:07 705	INFO:BlueTooth(0):
15:42:07 705	00000000: 00 00 00 00 00 00 
15:42:07 705	INFO:Mac(0):
15:42:07 715	00000000: 00 00 00 00 00 00 
15:42:07 715	INFO:WriteXIDBlock start
15:42:07 735	INFO:MakeEccSpareData start
15:42:07 745	INFO:WriteXIDBlock start
15:42:07 785	INFO:Writeing the 1th ID Block，Pos：00000000(SEC)
15:42:07 795	INFO:Writing sector 00000000 ~ 00000015 ... 
15:42:07 826	INFO:Reading sector 00000000 ~ 00000015 ... 
15:42:07 856	INFO:check start
15:42:07 866	INFO:Writing sector 00000016 ~ 00000031 ... 
15:42:07 886	INFO:Reading sector 00000016 ~ 00000031 ... 
15:42:07 936	INFO:check start
15:42:07 936	INFO:Writing sector 00000032 ~ 00000047 ... 
15:42:07 966	INFO:Reading sector 00000032 ~ 00000047 ... 
15:42:07 986	INFO:check start
15:42:07 986	INFO:Writing sector 00000048 ~ 00000063 ... 
15:42:08 006	INFO:Reading sector 00000048 ~ 00000063 ... 
15:42:08 016	INFO:check start
15:42:08 026	INFO:Writing sector 00000064 ~ 00000079 ... 
15:42:08 066	INFO:Reading sector 00000064 ~ 00000079 ... 
15:42:08 116	INFO:check start
15:42:08 126	INFO:Writing sector 00000080 ~ 00000095 ... 
15:42:08 156	INFO:Reading sector 00000080 ~ 00000095 ... 
15:42:08 176	INFO:check start
15:42:08 186	INFO:Writing sector 00000096 ~ 00000111 ... 
15:42:08 206	INFO:Reading sector 00000096 ~ 00000111 ... 
15:42:08 226	INFO:check start
15:42:08 236	INFO:Writing sector 00000112 ~ 00000127 ... 
15:42:08 246	INFO:Reading sector 00000112 ~ 00000127 ... 
15:42:08 266	INFO:check start
15:42:08 266	INFO:Writing sector 00000128 ~ 00000143 ... 
15:42:08 326	INFO:Reading sector 00000128 ~ 00000143 ... 
15:42:08 366	INFO:check start
15:42:08 376	INFO:Writing sector 00000144 ~ 00000159 ... 
15:42:08 406	INFO:Reading sector 00000144 ~ 00000159 ... 
15:42:08 446	INFO:check start
15:42:08 446	INFO:Writing sector 00000160 ~ 00000175 ... 
15:42:08 476	INFO:Reading sector 00000160 ~ 00000175 ... 
15:42:08 496	INFO:check start
15:42:08 507	INFO:Writing sector 00000176 ~ 00000191 ... 
15:42:08 537	INFO:Reading sector 00000176 ~ 00000191 ... 
15:42:08 557	INFO:check start
15:42:08 557	INFO:Writing sector 00000192 ~ 00000207 ... 
15:42:08 607	INFO:Reading sector 00000192 ~ 00000207 ... 
15:42:08 627	INFO:check start
15:42:08 627	INFO:Writing sector 00000208 ~ 00000223 ... 
15:42:08 677	INFO:Reading sector 00000208 ~ 00000223 ... 
15:42:08 687	INFO:check start
15:42:08 697	INFO:Writing sector 00000224 ~ 00000239 ... 
15:42:08 707	INFO:Reading sector 00000224 ~ 00000239 ... 
15:42:08 727	INFO:check start
15:42:08 727	INFO:Writing sector 00000240 ~ 00000255 ... 
15:42:08 747	INFO:Reading sector 00000240 ~ 00000255 ... 
15:42:08 767	INFO:check start
15:42:08 797	INFO:Writeing the 2th ID Block，Pos：00001024(SEC)
15:42:08 807	INFO:Writing sector 00001024 ~ 00001039 ... 
15:42:09 007	INFO:Reading sector 00001024 ~ 00001039 ... 
15:42:09 037	INFO:check start
15:42:09 047	INFO:Writing sector 00001040 ~ 00001055 ... 
15:42:09 077	INFO:Reading sector 00001040 ~ 00001055 ... 
15:42:09 097	INFO:check start
15:42:09 097	INFO:Writing sector 00001056 ~ 00001071 ... 
15:42:09 137	INFO:Reading sector 00001056 ~ 00001071 ... 
15:42:09 177	INFO:check start
15:42:09 177	INFO:Writing sector 00001072 ~ 00001087 ... 
15:42:09 208	INFO:Reading sector 00001072 ~ 00001087 ... 
15:42:09 228	INFO:check start
15:42:09 238	INFO:Writing sector 00001088 ~ 00001103 ... 
15:42:09 278	INFO:Reading sector 00001088 ~ 00001103 ... 
15:42:09 328	INFO:check start
15:42:09 338	INFO:Writing sector 00001104 ~ 00001119 ... 
15:42:09 358	INFO:Reading sector 00001104 ~ 00001119 ... 
15:42:09 398	INFO:check start
15:42:09 408	INFO:Writing sector 00001120 ~ 00001135 ... 
15:42:09 448	INFO:Reading sector 00001120 ~ 00001135 ... 
15:42:09 468	INFO:check start
15:42:09 478	INFO:Writing sector 00001136 ~ 00001151 ... 
15:42:09 508	INFO:Reading sector 00001136 ~ 00001151 ... 
15:42:09 568	INFO:check start
15:42:09 578	INFO:Writing sector 00001152 ~ 00001167 ... 
15:42:09 608	INFO:Reading sector 00001152 ~ 00001167 ... 
15:42:09 658	INFO:check start
15:42:09 658	INFO:Writing sector 00001168 ~ 00001183 ... 
15:42:09 708	INFO:Reading sector 00001168 ~ 00001183 ... 
15:42:09 748	INFO:check start
15:42:09 758	INFO:Writing sector 00001184 ~ 00001199 ... 
15:42:09 788	INFO:Reading sector 00001184 ~ 00001199 ... 
15:42:09 808	INFO:check start
15:42:09 808	INFO:Writing sector 00001200 ~ 00001215 ... 
15:42:09 828	INFO:Reading sector 00001200 ~ 00001215 ... 
15:42:09 838	INFO:check start
15:42:09 848	INFO:Writing sector 00001216 ~ 00001231 ... 
15:42:09 858	INFO:Reading sector 00001216 ~ 00001231 ... 
15:42:09 878	INFO:check start
15:42:09 888	INFO:Writing sector 00001232 ~ 00001247 ... 
15:42:09 919	INFO:Reading sector 00001232 ~ 00001247 ... 
15:42:09 929	INFO:check start
15:42:09 939	INFO:Writing sector 00001248 ~ 00001263 ... 
15:42:09 949	INFO:Reading sector 00001248 ~ 00001263 ... 
15:42:09 969	INFO:check start
15:42:09 969	INFO:Writing sector 00001264 ~ 00001279 ... 
15:42:09 989	INFO:Reading sector 00001264 ~ 00001279 ... 
15:42:10 039	INFO:check start
15:42:10 079	INFO:Writeing the 3th ID Block，Pos：00002048(SEC)
15:42:10 089	INFO:Writing sector 00002048 ~ 00002063 ... 
15:42:10 119	INFO:Reading sector 00002048 ~ 00002063 ... 
15:42:10 149	INFO:check start
15:42:10 159	INFO:Writing sector 00002064 ~ 00002079 ... 
15:42:10 169	INFO:Reading sector 00002064 ~ 00002079 ... 
15:42:10 189	INFO:check start
15:42:10 199	INFO:Writing sector 00002080 ~ 00002095 ... 
15:42:10 229	INFO:Reading sector 00002080 ~ 00002095 ... 
15:42:10 289	INFO:check start
15:42:10 299	INFO:Writing sector 00002096 ~ 00002111 ... 
15:42:10 329	INFO:Reading sector 00002096 ~ 00002111 ... 
15:42:10 369	INFO:check start
15:42:10 379	INFO:Writing sector 00002112 ~ 00002127 ... 
15:42:10 389	INFO:Reading sector 00002112 ~ 00002127 ... 
15:42:10 409	INFO:check start
15:42:10 419	INFO:Writing sector 00002128 ~ 00002143 ... 
15:42:10 449	INFO:Reading sector 00002128 ~ 00002143 ... 
15:42:10 489	INFO:check start
15:42:10 499	INFO:Writing sector 00002144 ~ 00002159 ... 
15:42:10 509	INFO:Reading sector 00002144 ~ 00002159 ... 
15:42:10 529	INFO:check start
15:42:10 539	INFO:Writing sector 00002160 ~ 00002175 ... 
15:42:10 579	INFO:Reading sector 00002160 ~ 00002175 ... 
15:42:10 610	INFO:check start
15:42:10 620	INFO:Writing sector 00002176 ~ 00002191 ... 
15:42:10 660	INFO:Reading sector 00002176 ~ 00002191 ... 
15:42:10 710	INFO:check start
15:42:10 720	INFO:Writing sector 00002192 ~ 00002207 ... 
15:42:10 750	INFO:Reading sector 00002192 ~ 00002207 ... 
15:42:10 800	INFO:check start
15:42:10 810	INFO:Writing sector 00002208 ~ 00002223 ... 
15:42:10 840	INFO:Reading sector 00002208 ~ 00002223 ... 
15:42:10 860	INFO:check start
15:42:10 860	INFO:Writing sector 00002224 ~ 00002239 ... 
15:42:10 880	INFO:Reading sector 00002224 ~ 00002239 ... 
15:42:10 890	INFO:check start
15:42:10 900	INFO:Writing sector 00002240 ~ 00002255 ... 
15:42:10 910	INFO:Reading sector 00002240 ~ 00002255 ... 
15:42:10 940	INFO:check start
15:42:10 960	INFO:Writing sector 00002256 ~ 00002271 ... 
15:42:10 980	INFO:Reading sector 00002256 ~ 00002271 ... 
15:42:11 030	INFO:check start
15:42:11 040	INFO:Writing sector 00002272 ~ 00002287 ... 
15:42:11 070	INFO:Reading sector 00002272 ~ 00002287 ... 
15:42:11 110	INFO:check start
15:42:11 110	INFO:Writing sector 00002288 ~ 00002303 ... 
15:42:11 140	INFO:Reading sector 00002288 ~ 00002303 ... 
15:42:11 160	INFO:check start
15:42:11 180	INFO:Writeing the 4th ID Block，Pos：00003072(SEC)
15:42:11 190	INFO:Writing sector 00003072 ~ 00003087 ... 
15:42:11 220	INFO:Reading sector 00003072 ~ 00003087 ... 
15:42:11 240	INFO:check start
15:42:11 240	INFO:Writing sector 00003088 ~ 00003103 ... 
15:42:11 280	INFO:Reading sector 00003088 ~ 00003103 ... 
15:42:11 331	INFO:check start
15:42:11 341	INFO:Writing sector 00003104 ~ 00003119 ... 
15:42:11 361	INFO:Reading sector 00003104 ~ 00003119 ... 
15:42:11 381	INFO:check start
15:42:11 381	INFO:Writing sector 00003120 ~ 00003135 ... 
15:42:11 431	INFO:Reading sector 00003120 ~ 00003135 ... 
15:42:11 451	INFO:check start
15:42:11 461	INFO:Writing sector 00003136 ~ 00003151 ... 
15:42:11 501	INFO:Reading sector 00003136 ~ 00003151 ... 
15:42:11 541	INFO:check start
15:42:11 561	INFO:Writing sector 00003152 ~ 00003167 ... 
15:42:11 581	INFO:Reading sector 00003152 ~ 00003167 ... 
15:42:11 601	INFO:check start
15:42:11 601	INFO:Writing sector 00003168 ~ 00003183 ... 
15:42:11 621	INFO:Reading sector 00003168 ~ 00003183 ... 
15:42:11 631	INFO:check start
15:42:11 641	INFO:Writing sector 00003184 ~ 00003199 ... 
15:42:11 651	INFO:Reading sector 00003184 ~ 00003199 ... 
15:42:11 671	INFO:check start
15:42:11 681	INFO:Writing sector 00003200 ~ 00003215 ... 
15:42:11 721	INFO:Reading sector 00003200 ~ 00003215 ... 
15:42:11 761	INFO:check start
15:42:11 771	INFO:Writing sector 00003216 ~ 00003231 ... 
15:42:11 801	INFO:Reading sector 00003216 ~ 00003231 ... 
15:42:11 841	INFO:check start
15:42:11 841	INFO:Writing sector 00003232 ~ 00003247 ... 
15:42:11 861	INFO:Reading sector 00003232 ~ 00003247 ... 
15:42:11 871	INFO:check start
15:42:11 881	INFO:Writing sector 00003248 ~ 00003263 ... 
15:42:11 901	INFO:Reading sector 00003248 ~ 00003263 ... 
15:42:11 921	INFO:check start
15:42:11 921	INFO:Writing sector 00003264 ~ 00003279 ... 
15:42:11 951	INFO:Reading sector 00003264 ~ 00003279 ... 
15:42:11 992	INFO:check start
15:42:12 002	INFO:Writing sector 00003280 ~ 00003295 ... 
15:42:12 032	INFO:Reading sector 00003280 ~ 00003295 ... 
15:42:12 052	INFO:check start
15:42:12 062	INFO:Writing sector 00003296 ~ 00003311 ... 
15:42:12 092	INFO:Reading sector 00003296 ~ 00003311 ... 
15:42:12 122	INFO:check start
15:42:12 132	INFO:Writing sector 00003312 ~ 00003327 ... 
15:42:12 172	INFO:Reading sector 00003312 ~ 00003327 ... 
15:42:12 202	INFO:check start
15:42:12 242	INFO:Writeing the 5th ID Block，Pos：00004096(SEC)
15:42:12 252	INFO:Writing sector 00004096 ~ 00004111 ... 
15:42:12 282	INFO:Reading sector 00004096 ~ 00004111 ... 
15:42:12 322	INFO:check start
15:42:12 342	INFO:Writing sector 00004112 ~ 00004127 ... 
15:42:12 362	INFO:Reading sector 00004112 ~ 00004127 ... 
15:42:12 372	INFO:check start
15:42:12 382	INFO:Writing sector 00004128 ~ 00004143 ... 
15:42:12 392	INFO:Reading sector 00004128 ~ 00004143 ... 
15:42:12 412	INFO:check start
15:42:12 422	INFO:Writing sector 00004144 ~ 00004159 ... 
15:42:12 472	INFO:Reading sector 00004144 ~ 00004159 ... 
15:42:12 492	INFO:check start
15:42:12 502	INFO:Writing sector 00004160 ~ 00004175 ... 
15:42:12 552	INFO:Reading sector 00004160 ~ 00004175 ... 
15:42:12 602	INFO:check start
15:42:12 612	INFO:Writing sector 00004176 ~ 00004191 ... 
15:42:12 632	INFO:Reading sector 00004176 ~ 00004191 ... 
15:42:12 652	INFO:check start
15:42:12 652	INFO:Writing sector 00004192 ~ 00004207 ... 
15:42:12 672	INFO:Reading sector 00004192 ~ 00004207 ... 
15:42:12 683	INFO:check start
15:42:12 693	INFO:Writing sector 00004208 ~ 00004223 ... 
15:42:12 713	INFO:Reading sector 00004208 ~ 00004223 ... 
15:42:12 743	INFO:check start
15:42:12 753	INFO:Writing sector 00004224 ~ 00004239 ... 
15:42:12 793	INFO:Reading sector 00004224 ~ 00004239 ... 
15:42:12 843	INFO:check start
15:42:12 853	INFO:Writing sector 00004240 ~ 00004255 ... 
15:42:12 893	INFO:Reading sector 00004240 ~ 00004255 ... 
15:42:12 903	INFO:check start
15:42:12 913	INFO:Writing sector 00004256 ~ 00004271 ... 
15:42:12 923	INFO:Reading sector 00004256 ~ 00004271 ... 
15:42:12 943	INFO:check start
15:42:12 953	INFO:Writing sector 00004272 ~ 00004287 ... 
15:42:12 983	INFO:Reading sector 00004272 ~ 00004287 ... 
15:42:13 003	INFO:check start
15:42:13 013	INFO:Writing sector 00004288 ~ 00004303 ... 
15:42:13 043	INFO:Reading sector 00004288 ~ 00004303 ... 
15:42:13 083	INFO:check start
15:42:13 103	INFO:Writing sector 00004304 ~ 00004319 ... 
15:42:13 123	INFO:Reading sector 00004304 ~ 00004319 ... 
15:42:13 143	INFO:check start
15:42:13 143	INFO:Writing sector 00004320 ~ 00004335 ... 
15:42:13 183	INFO:Reading sector 00004320 ~ 00004335 ... 
15:42:13 223	INFO:check start
15:42:13 233	INFO:Writing sector 00004336 ~ 00004351 ... 
15:42:13 263	INFO:Reading sector 00004336 ~ 00004351 ... 
15:42:13 313	INFO:check start
15:42:13 323	INFO:start to erase system disk
15:42:13 343	INFO:写入ID_BLOCK成功
15:42:13 363	INFO:开始重启设备
15:42:13 394	INFO:重启设备成功
15:42:13 404	INFO:LoaderThread Finish
15:42:16 398	Image Thread Path(\\?\USB#VID_2207&PID_310B#5&C1E6CCE&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=2264
15:42:16 408	INFO:开始测试设备
15:42:16 428	INFO:测试设备成功
15:42:16 458	INFO:开始下载文件
15:42:16 498	INFO: Start to download files to flash,backup offset=0x20000
15:42:16 508	INFO:开始下载文件到Flash
15:42:16 748	Info:RKA_File_Download start,file=misc,offset=0x2000
15:42:16 838	Info:RKA_File_Download start,file=boot,offset=0x8000
15:42:19 002	Info:RKA_File_Download start,file=kernel,offset=0x4000
15:42:20 123	Info:RKA_File_Download start,file=recovery,offset=0x10000
15:42:22 637	Info:RKA_File_Download start,file=system,offset=0x282000
15:43:43 633	INFO: Download files to flash finished,Total(397721868)B
15:43:43 643	INFO: Start to check data
