12:12:33 327	Load Setting ok
12:12:33 655	RKAndroidTool v1.3.7.0 Start Run
12:12:33 671	Scan thread:4232
12:12:33 687	Info:(thread=652)IoControlProc-->DeviceIoControl In
12:12:33 702	ProcessID:308,ThreadID:5344,RefCount:0
12:12:33 718	Info:(thread=652)IoControlProc-->DeviceIoControl Out,ret=1,err=183
12:12:33 733	ProcessID:308,ThreadID:1008,RefCount:0
12:12:33 765	ProcessID:308,ThreadID:4232,RefCount:0
12:12:33 780	ProcessID:308,ThreadID:652,RefCount:0
12:12:36 077	INFO:开始擦除IDB
12:12:36 093	INFO:开始低格设备
12:12:48 218	INFO:低格设备成功
12:12:48 233	INFO:擦除IDB成功
12:12:56 280	INFO:执行开始
12:12:56 312	Loader Device Path(\\?\USB#VID_2207&PID_310B#6&180D563E&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=2820
12:12:56 358	INFO:开始测试设备
12:12:56 390	INFO:测试设备成功
12:12:56 390	INFO:开始写入ID_BLOCK
12:12:56 421	Flash Chip Information:
12:12:56 421	NO		SIZE(MB)	Manufacturer
12:12:56 437	----------------------------------------------
12:12:56 452	0		8192MB	TOSHIBA
12:12:56 452	----------------------------------------------
12:12:56 468	INFO:BuildFlashStateMap start
12:12:56 483	INFO: FindAllIDB start
12:12:56 515	INFO:UpdateIDBData start
12:12:56 608	INFO:Serial Number(0):
12:12:56 640	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
12:12:56 640	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
12:12:56 655	INFO:UID(30):
12:12:56 671	00000000: 52 4F 43 4B 43 48 49 50 20 AB A4 00 4F BE 0C AF 
12:12:56 671	00000010: 23 83 E5 4A A3 56 53 0E 68 56 A8 9F 76 DA 
12:12:56 687	INFO:BlueTooth(0):
12:12:56 687	00000000: 00 00 00 00 00 00 
12:12:56 702	INFO:Mac(0):
12:12:56 702	00000000: 00 00 00 00 00 00 
12:12:56 718	INFO:WriteXIDBlock start
12:12:56 733	INFO:MakeEccSpareData start
12:12:56 749	INFO:WriteXIDBlock start
12:12:56 765	INFO:Writeing the 1th ID Block，Pos：00000000(SEC)
12:12:56 780	INFO:Writing sector 00000000 ~ 00000015 ... 
12:12:56 796	INFO:Reading sector 00000000 ~ 00000015 ... 
12:12:56 812	INFO:check start
12:12:56 827	INFO:Writing sector 00000016 ~ 00000031 ... 
12:12:56 843	INFO:Reading sector 00000016 ~ 00000031 ... 
12:12:56 858	INFO:check start
12:12:56 858	INFO:Writing sector 00000032 ~ 00000047 ... 
12:12:56 874	INFO:Reading sector 00000032 ~ 00000047 ... 
12:12:56 937	INFO:check start
12:12:56 952	INFO:Writing sector 00000048 ~ 00000063 ... 
12:12:56 968	INFO:Reading sector 00000048 ~ 00000063 ... 
12:12:56 983	INFO:check start
12:12:56 999	INFO:Writing sector 00000064 ~ 00000079 ... 
12:12:57 015	INFO:Reading sector 00000064 ~ 00000079 ... 
12:12:57 030	INFO:check start
12:12:57 046	INFO:Writing sector 00000080 ~ 00000095 ... 
12:12:57 062	INFO:Reading sector 00000080 ~ 00000095 ... 
12:12:57 077	INFO:check start
12:12:57 093	INFO:Writing sector 00000096 ~ 00000111 ... 
12:12:57 108	INFO:Reading sector 00000096 ~ 00000111 ... 
12:12:57 140	INFO:check start
12:12:57 155	INFO:Writing sector 00000112 ~ 00000127 ... 
12:12:57 171	INFO:Reading sector 00000112 ~ 00000127 ... 
12:12:57 187	INFO:check start
12:12:57 187	INFO:Writing sector 00000128 ~ 00000143 ... 
12:12:57 202	INFO:Reading sector 00000128 ~ 00000143 ... 
12:12:57 218	INFO:check start
12:12:57 233	INFO:Writing sector 00000144 ~ 00000159 ... 
12:12:57 249	INFO:Reading sector 00000144 ~ 00000159 ... 
12:12:57 265	INFO:check start
12:12:57 265	INFO:Writing sector 00000160 ~ 00000175 ... 
12:12:57 296	INFO:Reading sector 00000160 ~ 00000175 ... 
12:12:57 312	INFO:check start
12:12:57 312	INFO:Writing sector 00000176 ~ 00000191 ... 
12:12:57 327	INFO:Reading sector 00000176 ~ 00000191 ... 
12:12:57 358	INFO:check start
12:12:57 358	INFO:Writing sector 00000192 ~ 00000207 ... 
12:12:57 374	INFO:Reading sector 00000192 ~ 00000207 ... 
12:12:57 405	INFO:check start
12:12:57 421	INFO:Writing sector 00000208 ~ 00000223 ... 
12:12:57 437	INFO:Reading sector 00000208 ~ 00000223 ... 
12:12:57 452	INFO:check start
12:12:57 452	INFO:Writing sector 00000224 ~ 00000239 ... 
12:12:57 483	INFO:Reading sector 00000224 ~ 00000239 ... 
12:12:57 515	INFO:check start
12:12:57 515	INFO:Writing sector 00000240 ~ 00000255 ... 
12:12:57 546	INFO:Reading sector 00000240 ~ 00000255 ... 
12:12:57 562	INFO:check start
12:12:57 577	INFO:Writeing the 2th ID Block，Pos：00008192(SEC)
12:12:57 577	INFO:Writing sector 00008192 ~ 00008207 ... 
12:12:57 608	INFO:Reading sector 00008192 ~ 00008207 ... 
12:12:57 624	INFO:check start
12:12:57 640	INFO:Writing sector 00008208 ~ 00008223 ... 
12:12:57 655	INFO:Reading sector 00008208 ~ 00008223 ... 
12:12:57 671	INFO:check start
12:12:57 687	INFO:Writing sector 00008224 ~ 00008239 ... 
12:12:57 702	INFO:Reading sector 00008224 ~ 00008239 ... 
12:12:57 702	INFO:check start
12:12:57 718	INFO:Writing sector 00008240 ~ 00008255 ... 
12:12:57 733	INFO:Reading sector 00008240 ~ 00008255 ... 
12:12:57 765	INFO:check start
12:12:57 765	INFO:Writing sector 00008256 ~ 00008271 ... 
12:12:57 796	INFO:Reading sector 00008256 ~ 00008271 ... 
12:12:57 796	INFO:check start
12:12:57 812	INFO:Writing sector 00008272 ~ 00008287 ... 
12:12:57 843	INFO:Reading sector 00008272 ~ 00008287 ... 
12:12:57 858	INFO:check start
12:12:57 874	INFO:Writing sector 00008288 ~ 00008303 ... 
12:12:57 890	INFO:Reading sector 00008288 ~ 00008303 ... 
12:12:57 890	INFO:check start
