17:46:53 744	Load Setting ok
17:46:54 010	RKAndroidTool v1.3.7.0 Start Run
17:46:54 010	Scan thread:8116
17:46:54 026	Info:(thread=1592)IoControlProc-->DeviceIoControl In
17:46:54 057	ProcessID:7472,ThreadID:8012,RefCount:0
17:46:54 057	Info:(thread=1592)IoControlProc-->DeviceIoControl Out,ret=1,err=183
17:46:54 072	ProcessID:7472,ThreadID:8116,RefCount:0
17:46:54 088	ProcessID:7472,ThreadID:1592,RefCount:0
17:47:28 619	INFO:开始擦除IDB
17:47:28 635	INFO:开始低格设备
17:47:29 682	INFO:低格设备成功
17:47:29 697	INFO:擦除IDB成功
17:48:56 619	INFO:执行开始
17:48:56 635	Loader Device Path(\\?\USB#VID_2207&PID_310B#6&180D563E&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=1480
17:48:56 651	INFO:开始测试设备
17:48:56 682	INFO:测试设备成功
17:48:56 697	INFO:开始写入ID_BLOCK
17:48:56 697	Flash Chip Information:
17:48:56 713	NO		SIZE(MB)	Manufacturer
17:48:56 729	----------------------------------------------
17:48:56 744	0		7456MB	SAMSUNG
17:48:56 744	----------------------------------------------
17:48:56 760	INFO:BuildFlashStateMap start
17:48:56 776	INFO: FindAllIDB start
17:48:56 807	INFO:UpdateIDBData start
17:48:56 885	INFO:Serial Number(0):
17:48:56 885	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
17:48:56 901	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
17:48:56 963	INFO:UID(0):
17:48:56 994	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
17:48:56 994	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
17:48:57 010	INFO:BlueTooth(0):
17:48:57 026	00000000: 00 00 00 00 00 00 
17:48:57 041	INFO:Mac(0):
17:48:57 057	00000000: 00 00 00 00 00 00 
17:48:57 057	INFO:WriteXIDBlock start
17:48:57 072	INFO:MakeEccSpareData start
17:48:57 088	INFO:WriteXIDBlock start
17:48:57 104	INFO:Writeing the 1th ID Block，Pos：00000000(SEC)
17:48:57 119	INFO:Writing sector 00000000 ~ 00000015 ... 
17:48:57 151	INFO:Reading sector 00000000 ~ 00000015 ... 
17:48:57 166	INFO:check start
17:48:57 166	INFO:Writing sector 00000016 ~ 00000031 ... 
17:48:57 197	INFO:Reading sector 00000016 ~ 00000031 ... 
17:48:57 213	INFO:check start
17:48:57 213	INFO:Writing sector 00000032 ~ 00000047 ... 
17:48:57 244	INFO:Reading sector 00000032 ~ 00000047 ... 
17:48:57 260	INFO:check start
17:48:57 260	INFO:Writing sector 00000048 ~ 00000063 ... 
17:48:57 291	INFO:Reading sector 00000048 ~ 00000063 ... 
17:48:57 307	INFO:check start
17:48:57 307	INFO:Writing sector 00000064 ~ 00000079 ... 
17:48:57 338	INFO:Reading sector 00000064 ~ 00000079 ... 
17:48:57 338	INFO:check start
17:48:57 354	INFO:Writing sector 00000080 ~ 00000095 ... 
17:48:57 369	INFO:Reading sector 00000080 ~ 00000095 ... 
17:48:57 401	INFO:check start
17:48:57 401	INFO:Writing sector 00000096 ~ 00000111 ... 
17:48:57 432	INFO:Reading sector 00000096 ~ 00000111 ... 
17:48:57 447	INFO:check start
17:48:57 463	INFO:Writing sector 00000112 ~ 00000127 ... 
17:48:57 479	INFO:Reading sector 00000112 ~ 00000127 ... 
17:48:57 494	INFO:check start
17:48:57 510	INFO:Writing sector 00000128 ~ 00000143 ... 
17:48:57 526	INFO:Reading sector 00000128 ~ 00000143 ... 
17:48:57 541	INFO:check start
17:48:57 557	INFO:Writing sector 00000144 ~ 00000159 ... 
17:48:57 572	INFO:Reading sector 00000144 ~ 00000159 ... 
17:48:57 588	INFO:check start
17:48:57 588	INFO:Writing sector 00000160 ~ 00000175 ... 
17:48:57 604	INFO:Reading sector 00000160 ~ 00000175 ... 
17:48:57 635	INFO:check start
17:48:57 635	INFO:Writing sector 00000176 ~ 00000191 ... 
17:48:57 651	INFO:Reading sector 00000176 ~ 00000191 ... 
17:48:57 666	INFO:check start
17:48:57 666	INFO:Writing sector 00000192 ~ 00000207 ... 
17:48:57 682	INFO:Reading sector 00000192 ~ 00000207 ... 
17:48:57 697	INFO:check start
17:48:57 729	INFO:Writing sector 00000208 ~ 00000223 ... 
17:48:57 744	INFO:Reading sector 00000208 ~ 00000223 ... 
17:48:57 760	INFO:check start
17:48:57 760	INFO:Writing sector 00000224 ~ 00000239 ... 
17:48:57 791	INFO:Reading sector 00000224 ~ 00000239 ... 
17:48:57 807	INFO:check start
17:48:57 807	INFO:Writing sector 00000240 ~ 00000255 ... 
17:48:57 838	INFO:Reading sector 00000240 ~ 00000255 ... 
17:48:57 838	INFO:check start
17:48:57 854	INFO:Writeing the 2th ID Block，Pos：00001024(SEC)
17:48:57 869	INFO:Writing sector 00001024 ~ 00001039 ... 
17:48:57 885	INFO:Reading sector 00001024 ~ 00001039 ... 
17:48:57 916	INFO:check start
17:48:57 916	INFO:Writing sector 00001040 ~ 00001055 ... 
17:48:57 947	INFO:Reading sector 00001040 ~ 00001055 ... 
17:48:57 963	INFO:check start
17:48:57 963	INFO:Writing sector 00001056 ~ 00001071 ... 
17:48:57 994	INFO:Reading sector 00001056 ~ 00001071 ... 
17:48:57 994	INFO:check start
17:48:58 010	INFO:Writing sector 00001072 ~ 00001087 ... 
17:48:58 041	INFO:Reading sector 00001072 ~ 00001087 ... 
17:48:58 072	INFO:check start
17:48:58 072	INFO:Writing sector 00001088 ~ 00001103 ... 
17:48:58 104	INFO:Reading sector 00001088 ~ 00001103 ... 
17:48:58 104	INFO:check start
17:48:58 119	INFO:Writing sector 00001104 ~ 00001119 ... 
17:48:58 135	INFO:Reading sector 00001104 ~ 00001119 ... 
17:48:58 151	INFO:check start
17:48:58 166	INFO:Writing sector 00001120 ~ 00001135 ... 
17:48:58 182	INFO:Reading sector 00001120 ~ 00001135 ... 
17:48:58 213	INFO:check start
17:48:58 244	INFO:Writing sector 00001136 ~ 00001151 ... 
17:48:58 260	INFO:Reading sector 00001136 ~ 00001151 ... 
17:48:58 276	INFO:check start
17:48:58 291	INFO:Writing sector 00001152 ~ 00001167 ... 
17:48:58 307	INFO:Reading sector 00001152 ~ 00001167 ... 
17:48:58 322	INFO:check start
17:48:58 322	INFO:Writing sector 00001168 ~ 00001183 ... 
17:48:58 354	INFO:Reading sector 00001168 ~ 00001183 ... 
17:48:58 354	INFO:check start
17:48:58 369	INFO:Writing sector 00001184 ~ 00001199 ... 
17:48:58 385	INFO:Reading sector 00001184 ~ 00001199 ... 
17:48:58 401	INFO:check start
17:48:58 416	INFO:Writing sector 00001200 ~ 00001215 ... 
17:48:58 432	INFO:Reading sector 00001200 ~ 00001215 ... 
17:48:58 447	INFO:check start
17:48:58 447	INFO:Writing sector 00001216 ~ 00001231 ... 
17:48:58 463	INFO:Reading sector 00001216 ~ 00001231 ... 
17:48:58 479	INFO:check start
17:48:58 494	INFO:Writing sector 00001232 ~ 00001247 ... 
17:48:58 510	INFO:Reading sector 00001232 ~ 00001247 ... 
17:48:58 526	INFO:check start
17:48:58 541	INFO:Writing sector 00001248 ~ 00001263 ... 
17:48:58 557	INFO:Reading sector 00001248 ~ 00001263 ... 
17:48:58 572	INFO:check start
17:48:58 572	INFO:Writing sector 00001264 ~ 00001279 ... 
17:48:58 588	INFO:Reading sector 00001264 ~ 00001279 ... 
17:48:58 619	INFO:check start
17:48:58 635	INFO:Writeing the 3th ID Block，Pos：00002048(SEC)
17:48:58 635	INFO:Writing sector 00002048 ~ 00002063 ... 
17:48:58 666	INFO:Reading sector 00002048 ~ 00002063 ... 
17:48:58 682	INFO:check start
17:48:58 682	INFO:Writing sector 00002064 ~ 00002079 ... 
17:48:58 697	INFO:Reading sector 00002064 ~ 00002079 ... 
17:48:58 713	INFO:check start
17:48:58 713	INFO:Writing sector 00002080 ~ 00002095 ... 
17:48:58 729	INFO:Reading sector 00002080 ~ 00002095 ... 
17:48:58 744	INFO:check start
17:48:58 760	INFO:Writing sector 00002096 ~ 00002111 ... 
17:48:58 776	INFO:Reading sector 00002096 ~ 00002111 ... 
17:48:58 791	INFO:check start
17:48:58 791	INFO:Writing sector 00002112 ~ 00002127 ... 
17:48:58 807	INFO:Reading sector 00002112 ~ 00002127 ... 
17:48:58 822	INFO:check start
17:48:58 838	INFO:Writing sector 00002128 ~ 00002143 ... 
17:48:58 838	INFO:Reading sector 00002128 ~ 00002143 ... 
17:48:58 854	INFO:check start
17:48:58 869	INFO:Writing sector 00002144 ~ 00002159 ... 
17:48:58 885	INFO:Reading sector 00002144 ~ 00002159 ... 
17:48:58 885	INFO:check start
17:48:58 901	INFO:Writing sector 00002160 ~ 00002175 ... 
17:48:58 916	INFO:Reading sector 00002160 ~ 00002175 ... 
17:48:58 932	INFO:check start
17:48:58 932	INFO:Writing sector 00002176 ~ 00002191 ... 
17:48:58 947	INFO:Reading sector 00002176 ~ 00002191 ... 
17:48:58 963	INFO:check start
17:48:58 963	INFO:Writing sector 00002192 ~ 00002207 ... 
17:48:58 979	INFO:Reading sector 00002192 ~ 00002207 ... 
17:48:58 994	INFO:check start
17:48:59 010	INFO:Writing sector 00002208 ~ 00002223 ... 
17:48:59 026	INFO:Reading sector 00002208 ~ 00002223 ... 
17:48:59 041	INFO:check start
17:48:59 057	INFO:Writing sector 00002224 ~ 00002239 ... 
17:48:59 057	INFO:Reading sector 00002224 ~ 00002239 ... 
17:48:59 072	INFO:check start
17:48:59 088	INFO:Writing sector 00002240 ~ 00002255 ... 
17:48:59 104	INFO:Reading sector 00002240 ~ 00002255 ... 
17:48:59 119	INFO:check start
17:48:59 119	INFO:Writing sector 00002256 ~ 00002271 ... 
17:48:59 135	INFO:Reading sector 00002256 ~ 00002271 ... 
17:48:59 151	INFO:check start
17:48:59 151	INFO:Writing sector 00002272 ~ 00002287 ... 
17:48:59 166	INFO:Reading sector 00002272 ~ 00002287 ... 
17:48:59 197	INFO:check start
17:48:59 197	INFO:Writing sector 00002288 ~ 00002303 ... 
17:48:59 213	INFO:Reading sector 00002288 ~ 00002303 ... 
17:48:59 244	INFO:check start
17:48:59 291	INFO:Writeing the 4th ID Block，Pos：00003072(SEC)
17:48:59 307	INFO:Writing sector 00003072 ~ 00003087 ... 
17:48:59 322	INFO:Reading sector 00003072 ~ 00003087 ... 
17:48:59 338	INFO:check start
17:48:59 354	INFO:Writing sector 00003088 ~ 00003103 ... 
17:48:59 369	INFO:Reading sector 00003088 ~ 00003103 ... 
17:48:59 385	INFO:check start
17:48:59 385	INFO:Writing sector 00003104 ~ 00003119 ... 
17:48:59 416	INFO:Reading sector 00003104 ~ 00003119 ... 
17:48:59 447	INFO:check start
17:48:59 510	INFO:Writing sector 00003120 ~ 00003135 ... 
17:48:59 557	INFO:Reading sector 00003120 ~ 00003135 ... 
17:48:59 572	INFO:check start
17:48:59 572	INFO:Writing sector 00003136 ~ 00003151 ... 
17:48:59 588	INFO:Reading sector 00003136 ~ 00003151 ... 
17:48:59 619	INFO:check start
17:48:59 635	INFO:Writing sector 00003152 ~ 00003167 ... 
17:48:59 635	INFO:Reading sector 00003152 ~ 00003167 ... 
17:48:59 651	INFO:check start
17:48:59 666	INFO:Writing sector 00003168 ~ 00003183 ... 
17:48:59 682	INFO:Reading sector 00003168 ~ 00003183 ... 
17:48:59 697	INFO:check start
17:48:59 697	INFO:Writing sector 00003184 ~ 00003199 ... 
17:48:59 713	INFO:Reading sector 00003184 ~ 00003199 ... 
17:48:59 744	INFO:check start
17:48:59 744	INFO:Writing sector 00003200 ~ 00003215 ... 
17:48:59 760	INFO:Reading sector 00003200 ~ 00003215 ... 
17:48:59 791	INFO:check start
17:48:59 791	INFO:Writing sector 00003216 ~ 00003231 ... 
17:48:59 807	INFO:Reading sector 00003216 ~ 00003231 ... 
17:48:59 838	INFO:check start
17:48:59 838	INFO:Writing sector 00003232 ~ 00003247 ... 
17:48:59 854	INFO:Reading sector 00003232 ~ 00003247 ... 
17:48:59 869	INFO:check start
17:48:59 869	INFO:Writing sector 00003248 ~ 00003263 ... 
17:48:59 885	INFO:Reading sector 00003248 ~ 00003263 ... 
17:48:59 901	INFO:check start
17:48:59 916	INFO:Writing sector 00003264 ~ 00003279 ... 
17:48:59 916	INFO:Reading sector 00003264 ~ 00003279 ... 
17:48:59 932	INFO:check start
17:48:59 947	INFO:Writing sector 00003280 ~ 00003295 ... 
17:48:59 963	INFO:Reading sector 00003280 ~ 00003295 ... 
17:48:59 994	INFO:check start
17:48:59 994	INFO:Writing sector 00003296 ~ 00003311 ... 
17:49:00 010	INFO:Reading sector 00003296 ~ 00003311 ... 
17:49:00 026	INFO:check start
17:49:00 026	INFO:Writing sector 00003312 ~ 00003327 ... 
17:49:00 041	INFO:Reading sector 00003312 ~ 00003327 ... 
17:49:00 057	INFO:check start
17:49:00 072	INFO:Writeing the 5th ID Block，Pos：00004096(SEC)
17:49:00 088	INFO:Writing sector 00004096 ~ 00004111 ... 
17:49:00 104	INFO:Reading sector 00004096 ~ 00004111 ... 
17:49:00 119	INFO:check start
17:49:00 135	INFO:Writing sector 00004112 ~ 00004127 ... 
17:49:00 151	INFO:Reading sector 00004112 ~ 00004127 ... 
17:49:00 182	INFO:check start
17:49:00 197	INFO:Writing sector 00004128 ~ 00004143 ... 
17:49:00 213	INFO:Reading sector 00004128 ~ 00004143 ... 
17:49:00 229	INFO:check start
17:49:00 229	INFO:Writing sector 00004144 ~ 00004159 ... 
17:49:00 244	INFO:Reading sector 00004144 ~ 00004159 ... 
17:49:00 276	INFO:check start
17:49:00 276	INFO:Writing sector 00004160 ~ 00004175 ... 
17:49:00 291	INFO:Reading sector 00004160 ~ 00004175 ... 
17:49:00 307	INFO:check start
17:49:00 307	INFO:Writing sector 00004176 ~ 00004191 ... 
17:49:00 338	INFO:Reading sector 00004176 ~ 00004191 ... 
17:49:00 338	INFO:check start
17:49:00 354	INFO:Writing sector 00004192 ~ 00004207 ... 
17:49:00 369	INFO:Reading sector 00004192 ~ 00004207 ... 
17:49:00 385	INFO:check start
17:49:00 385	INFO:Writing sector 00004208 ~ 00004223 ... 
17:49:00 416	INFO:Reading sector 00004208 ~ 00004223 ... 
17:49:00 432	INFO:check start
17:49:00 447	INFO:Writing sector 00004224 ~ 00004239 ... 
17:49:00 463	INFO:Reading sector 00004224 ~ 00004239 ... 
17:49:00 479	INFO:check start
17:49:00 494	INFO:Writing sector 00004240 ~ 00004255 ... 
17:49:00 510	INFO:Reading sector 00004240 ~ 00004255 ... 
17:49:00 526	INFO:check start
17:49:00 526	INFO:Writing sector 00004256 ~ 00004271 ... 
17:49:00 541	INFO:Reading sector 00004256 ~ 00004271 ... 
17:49:00 557	INFO:check start
17:49:00 557	INFO:Writing sector 00004272 ~ 00004287 ... 
17:49:00 572	INFO:Reading sector 00004272 ~ 00004287 ... 
17:49:00 588	INFO:check start
17:49:00 604	INFO:Writing sector 00004288 ~ 00004303 ... 
17:49:00 604	INFO:Reading sector 00004288 ~ 00004303 ... 
17:49:00 619	INFO:check start
17:49:00 635	INFO:Writing sector 00004304 ~ 00004319 ... 
17:49:00 651	INFO:Reading sector 00004304 ~ 00004319 ... 
17:49:00 651	INFO:check start
17:49:00 666	INFO:Writing sector 00004320 ~ 00004335 ... 
17:49:00 682	INFO:Reading sector 00004320 ~ 00004335 ... 
17:49:00 697	INFO:check start
17:49:00 697	INFO:Writing sector 00004336 ~ 00004351 ... 
17:49:00 713	INFO:Reading sector 00004336 ~ 00004351 ... 
17:49:00 729	INFO:check start
17:49:00 729	INFO:start to erase system disk
17:49:00 776	INFO:写入ID_BLOCK成功
17:49:00 822	INFO:开始重启设备
17:49:00 838	INFO:重启设备成功
17:49:01 197	INFO:LoaderThread Finish
17:49:03 729	Image Thread Path(\\?\USB#VID_2207&PID_310B#6&180D563E&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=3700
17:49:03 760	INFO:开始测试设备
17:49:03 791	INFO:测试设备成功
17:49:03 822	INFO:开始下载文件
17:49:03 869	INFO: Start to download files to flash,backup offset=0x24000
17:49:03 885	INFO:开始下载文件到Flash
17:49:04 026	Info:RKA_File_Download start,file=misc,offset=0x2000
17:49:04 104	Info:RKA_File_Download start,file=boot,offset=0xc000
